DJI（互联网泡沫）,DJI（经济大萧条）,DJI（87年，可能得省略）,DJI（08年金融危机）,N225（房地产泡沫）,CHL（智利金融危机）,China（中国08年）,HK（9798年东南亚危机）,China（中国15年）
3305.2,96.45,820.51,12105.55,7746.91,419.19,1397.224976,3210,2198.514893
3269,96.91,821.9,12156.77,7730.88,429.03,1432.703003,3184.2,2155.809082
3251.7,95.95,816.09,12176.54,7654.17,432.16,1435.313965,3153.7,2160.0271
3262.75,95.53,811.85,12103.3,7680.89,428.16,1445.026001,3100,2174.665039
3264.6,95.41,817.65,12108.43,7674.65,432.03,1452.80896,3100.9,2198.198975
3263.6,95.07,814.97,12131.88,7682.53,432.96,1451.118042,3081.1,2211.769043
3267.9,92.77,809.86,12218.01,7669.93,428.86,1436.662964,3106.3,2190.928955
3271.1,93.58,812.54,12251.71,7668.9,424.35,1443.365967,3159.8,2228.145996
3274.9,93.9,805.35,12305.82,7644.57,419.59,1469.421997,3150.6,2237.772949
3256,96.03,787.51,12342.56,7681.99,416.84,1470.022949,3161.6,2233.412109
3242,96.65,789.85,12316.54,7662.48,416.17,1470.791992,3125.2,2193.073975
3253,97.25,793.66,12321.59,7665.02,420.19,1470.357056,3114.2,2188.541992
3256.8,97.66,794.79,12326.95,7681.84,425.17,1466.337036,3064.2,2193.780029
3292.2,97.53,808.47,12280.17,7718.84,425.43,1453.994995,3012.7,2229.237061
3299,95.36,816.01,12121.71,7719.34,424.41,1457.301025,3037.1,2210.6521
3291.4,96.14,808.56,12136.45,7697.6,424.68,1446.285034,3010.5,2183.106934
3306.3,96.29,805.96,12226.73,7691.22,427.24,1492.963013,3056.6,2164.322021
3310,97.24,805.01,12221.93,7662.22,430.88,1500.640015,3059,2132.955078
3332.2,97.17,811.42,12194.13,7675.26,430.88,1513.824951,3080.7,2133.868896
3328.7,96.66,817.39,12283.85,7631.77,433.63,1512.597046,3058.7,2128.864014
3373.8,97.22,826.14,12331.6,7635.66,432.95,1514.775024,3062.8,2160.462891
3416.7,95.97,830.73,12309.25,7667.02,432,1496.427002,3046.8,2141.614014
3442.1,95.79,828.14,12278.41,7659.34,433.63,1511.69104,3029.9,2149.562012
3437.5,95.44,831.43,12307.49,7677.07,432.6,1497.043945,3034.8,2149.634033
3414.6,94.86,824.93,12328.48,7717.23,427.27,1497.040039,3095.9,2157.23999
3412.4,92.64,828.05,12315.58,7737.51,424.14,1517.192993,3150.9,2139.606934
3422.7,92.76,836.28,12317.5,7823.36,425.17,1568.353027,3136.9,2129.399902
3392.43,90.81,848.67,12416.76,7906.26,431.68,1574.522949,3046.7,2106.126953
3309.5,92.26,835.59,12445.52,7863.4,447.44,1587.203979,3056.4,2109.470947
3312.2,93.55,834.2,12441.27,7926.55,447.1,1610.125977,3037.1,2126.771973
3302.2,91.48,839.14,12471.32,7903.85,447.1,1581.465942,3049.6,2087.940918
3322.18,90.11,837.49,12463.87,7918.82,395.34,1618.517944,3033,2100.506104
3342.99,88.66,838.53,12421.25,7909.79,406.54,1612.682983,3033,2135.826904
3323.27,89.38,846.85,12343.22,7828,409.04,1592.422974,2980.8,2197.218994
3356.5,88.4,846.41,12407.63,7860.94,405.8,1586.493042,3005,2193.125
3365.14,88.95,854.64,12510.57,7834.7,405.8,1600.425049,2987.2,2206.613037
3370.81,87.87,859.75,12501.52,7801.88,395.39,1600.430054,2992,2205.766113
3355.41,87.9,855.77,12463.15,7784.89,391.59,1600.430054,3015.5,2196.37793
3400.53,88.65,851.78,12474.52,7794.19,389.36,1600.430054,3024.1,2186.11499
3404.04,89.26,839.22,12480.69,7761.11,394.69,1600.430054,3021.4,2183.072998
3398.91,88.44,840.87,12398.01,7690.29,403.13,1600.430054,3026,2201.070068
3404.58,87.8,834.63,12423.49,7694.18,408.83,1600.430054,3060.2,2219.37207
3469.42,87.64,823.98,12416.6,7693.92,407.15,1600.430054,3079.2,2220.503906
3472.12,89.07,822.85,12442.16,7644.39,407.15,1600.430054,3082.7,2207.371094
3478.34,89.22,816.01,12514.98,7683.76,407.05,1628.837036,3134,2222.669922
3457,89.5,818.87,12556.08,7713.31,401.7,1590.729004,3135.4,2251.761963
3427.82,90.01,822.23,12582.59,7758.36,403.89,1623.880005,3164.1,2247.062988
3442.41,91.35,824.84,12577.15,7714.56,404.69,1649.281982,3139.7,2237.10791
3442.95,91.72,830.21,12567.93,7664.02,409.45,1685.159058,3109.2,2238.199951
3426.74,91.58,829.78,12565.53,7580.45,409.45,1693.427979,3096,2237.491943
3465.64,90.16,829.09,12477.16,7548.51,409.96,1679.192993,3118.7,2204.166016
3471.58,90.87,827.01,12533.8,7327.44,404.64,1703.529053,3118.7,2202.795898
3463.48,91.06,834.55,12621.77,7309.41,403.24,1691.009033,3077.3,2196.074951
3461.86,88.37,834.55,12502.56,7474.42,400.45,1677.759033,3116,2160.861084
3445.38,88.11,828.57,12487.02,7354.82,400,1663.832031,3123.9,2151.079102
3461.32,86.91,823.28,12490.78,7285.54,403.31,1658.53894,3156.4,2148.284912
3439.98,87.96,821.12,12523.31,7248.47,405.02,1696.827026,3155.2,2127.791992
3455.1,88.2,807,12621.69,7195.8,405.82,1703.774048,3221.1,2084.793945
3457.27,88.51,808.82,12673.68,7292.91,406.19,1717.095947,3262.9,2089.707031
3435.11,89.55,815.84,12653.49,7257.34,405.89,1717.015015,3268.5,2092.905029
3439.44,88.63,815.75,12661.74,7102.61,407.06,1721.751953,3262.2,2106.354004
3370.81,88.67,827.36,12666.31,7078.68,407.46,1681.654053,3280.9,2073.099121
3379.19,88.95,826.58,12666.87,6916.99,408.63,1682.296997,3285.1,2101.250977
3377.57,89.6,834.29,12637.63,6889.53,409.71,1647.380981,3278.4,2097.529053
3397.02,90.23,844.85,12580.83,7052.8,410.75,1654.897949,3309.6,2115.978027
3396.48,90.86,842.86,12552.55,7065.38,414.22,1675.067017,3289.5,2109.386963
3428.09,91.64,844.68,12654.85,7097.8,419.5,1689.76001,3246.4,2083.13501
3444.03,91.71,846.93,12741.86,7194.31,429.93,1687.277954,3277.6,2045.708984
3455.64,92.18,845.37,12765.01,7175.16,434.49,1661.812012,3145.6,2047.317017
3455.92,92.13,847.02,12767.57,7203.82,442.8,1668.874023,2806.6,2044.339966
3478.61,92.04,852.82,12786.64,7199.16,436.03,1662.095947,3067.7,2027.621948
3466.99,91.92,857.59,12738.41,7193.83,433.24,1637.144043,3008.7,2013.297974
3443.49,92.48,850.31,12686.02,7260.48,435.17,1637.098999,2752.5,2009.563965
3439.44,93.2,857.76,12647.48,7293.67,435.84,1678.072998,2765.7,2026.842041
3429.17,93.7,861.31,12632.26,7332.96,435.16,1691.642944,2845,2023.348022
3413.77,93.4,859.75,12216.24,7344.35,437.53,1694.743042,2805.5,2023.70105
